DATE OCC,AREA NAME,Crm Cd Desc,LAT,LON,Cluster
06/04/2020 12:00:00 AM,77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),33.9829,-118.3309,0
08/07/2020 12:00:00 AM,Rampart,BATTERY - SIMPLE ASSAULT,34.0706,-118.2615,0
06/08/2020 12:00:00 AM,Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0037,-118.3171,0
02/21/2020 12:00:00 AM,Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0474,-118.2229,0
03/13/2020 12:00:00 AM,West LA,THEFT OF IDENTITY,34.0328,-118.5101,0
09/05/2020 12:00:00 AM,Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0417,-118.3588,0
01/16/2020 12:00:00 AM,Southwest,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.0311,-118.3405,0
09/17/2020 12:00:00 AM,Van Nuys,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.1504,-118.4296,0
12/09/2020 12:00:00 AM,Wilshire,VEHICLE - STOLEN,34.046,-118.3225,0
06/13/2020 12:00:00 AM,Rampart,INTIMATE PARTNER - AGGRAVATED ASSAULT,34.0609,-118.2709,0
12/24/2020 12:00:00 AM,77th Street,BATTERY - SIMPLE ASSAULT,33.9624,-118.2883,0
01/22/2020 12:00:00 AM,Central,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",34.0491,-118.2558,0
09/21/2020 12:00:00 AM,Southwest,"BUNCO, GRAND THEFT",34.0291,-118.3535,0
05/25/2020 12:00:00 AM,West LA,BURGLARY,34.0385,-118.3815,0
07/31/2020 12:00:00 AM,Hollywood,VEHICLE - STOLEN,34.0853,-118.3321,0
01/07/2020 12:00:00 AM,West Valley,PROWLER,34.1793,-118.5557,0
07/20/2020 12:00:00 AM,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33.7234,-118.2907,0
12/08/2020 12:00:00 AM,Rampart,BURGLARY FROM VEHICLE,34.0628,-118.2553,0
02/21/2020 12:00:00 AM,Van Nuys,THEFT PLAIN - PETTY ($950 & UNDER),34.1725,-118.4268,0
12/29/2020 12:00:00 AM,Van Nuys,TRESPASSING,34.1366,-118.4583,0
07/18/2020 12:00:00 AM,West Valley,BATTERY - SIMPLE ASSAULT,34.2048,-118.5339,0
